sample_id,site_number,latitude,longitude,p450,sod,shell,ci1,ci2,ci3,site_name,reporting_area,km4,km5,hc4,hc5,p16,p42,phmw,plmw,pcb,p450_outlier,sod_outlier,ci1_outlier,ci2_outlier,ci3_outlier,shell_outlier
115,48,47.292549,-122.412175,4636577,11.286,0.93,0.035,0.703,0.054,"Comm Bay, Dick Gilmur Launch",11,1,2,1,1,5,4,5,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
116,48,47.292549,-122.412175,4040140,4.915,0.87,0.031,0.672,0.05,"Comm Bay, Dick Gilmur Launch",11,1,2,1,1,5,4,5,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
117,48,47.292549,-122.412175,2353038,8.819,0.895,0.036,0.71,0.056,"Comm Bay, Dick Gilmur Launch",11,1,2,1,1,5,4,5,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
118,46,47.259189,-122.434689,735845,8.373,0.87,0.033,0.69,0.047,Thea Foss Waterway,11,1,2,1,1,5,5,6,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
119,46,47.259189,-122.434689,1453865,13.402,0.89,0.036,0.696,0.054,Thea Foss Waterway,11,1,2,1,1,5,5,6,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120,46,47.259189,-122.434689,NA,13.817,0.925,0.036,0.68,0.051,Thea Foss Waterway,11,1,2,1,1,5,5,6,5,5,NA,FALSE,FALSE,FALSE,FALSE,FALSE
121,46,47.259189,-122.434689,NA,23.09,0.95,0.034,0.686,0.06,Thea Foss Waterway,11,1,2,1,1,5,5,6,5,5,NA,FALSE,FALSE,FALSE,FALSE,FALSE
122,46,47.259189,-122.434689,8793140,0.255,0.85,0.007,0.322,0.012,Thea Foss Waterway,11,1,2,1,1,5,5,6,5,5,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
123,40,47.29464,-122.53053,917068,0.0025,0.935,0.032,0.684,0.065,Salmon Beach,11,1,2,1,1,4,4,5,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
124,40,47.29464,-122.53053,2352820,12.933,0.685,0.034,0.677,0.055,Salmon Beach,11,1,2,1,1,4,4,5,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
125,40,47.29464,-122.53053,NA,8.918,0.8,0.034,0.686,0.054,Salmon Beach,11,1,2,1,1,4,4,5,3,3,NA,FALSE,FALSE,FALSE,FALSE,FALSE
126,40,47.29464,-122.53053,1382918,7.345,1.035,0.033,0.689,0.042,Salmon Beach,11,1,2,1,1,4,4,5,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
127,56,47.1905742,-122.5834897,22777074,15.598,0.885,0.034,0.648,0.052,Chambers Bay Park,13,1,2,1,1,2,2,2,1,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
