site_number,Individual,weight,length,width,height,weight_final,weight_change,condition_factor,avg_thickness,economic_index
13,285,10.974,57.94,24.68,18.62,4.3948,6.58,0.1894,0.875,0.0021
13,286,12.6608,55.53,25.77,18.3,3.6163,9.04,0.228,0.645,0.0016
16,287,16.3677,59.33,28.83,21.35,4.2008,12.17,0.2759,0.67,0.0015
16,288,14.9594,55.44,26.94,20.59,4.4101,10.55,0.2698,0.795,0.0019
16,289,15.8632,58.86,27.03,19.53,4.9234,10.94,0.2695,0.725,0.0017
16,290,14.8779,58.4,26.07,20.66,3.9418,10.94,0.2548,0.64,0.0015
18,291,10.9555,54.43,22.79,17.91,2.7429,8.21,0.2013,0.56,0.0015
18,292,9.4818,50.46,23.11,17.64,3.022,6.46,0.1879,0.575,0.0016
18,293,11.3754,53.74,25.66,20.73,3.1061,8.27,0.2117,0.515,0.0013
18,294,12.4903,54.71,27.79,19.5,3.0424,9.45,0.2283,0.575,0.0014
27,295,12.7124,51.6,25.56,20.22,3.7522,8.96,0.2464,0.695,0.0018
27,296,12.2717,51.99,24.36,20.41,3.5438,8.73,0.236,0.595,0.0016
27,297,15.3671,56.77,26.62,22.01,4.525,10.84,0.2707,0.745,0.0018
27,298,13.4055,54.64,26.28,19.35,3.5572,9.85,0.2453,0.72,0.0018
37,299,13.5778,55.2,26.96,26.59,3.6566,9.92,0.246,0.66,0.0016
37,300,11.9713,53.6,25.25,25.38,4.2816,7.69,0.2233,0.75,0.0019
37,301,10.093,51.59,22.3,17.55,3.561,6.53,0.1956,0.805,0.0022
37,302,10.2096,49.66,25.63,18.04,3.1441,7.07,0.2056,0.785,0.0021
7,303,16.2735,60.39,28.48,19.99,4.9803,11.29,0.2695,0.745,0.0017
7,304,15.1339,57.53,26.64,21.75,4.1138,11.02,0.2631,0.725,0.0017
7,305,16.9798,61.37,26.95,21.9,5.2372,11.74,0.2767,0.855,0.0019
7,306,11.7315,54.79,25.89,18.22,3.606,8.13,0.2141,0.745,0.0018
11,307,14.0595,58.25,26.14,19.82,3.1397,10.92,0.2414,0.61,0.0014
11,308,13.6023,55.9,26.98,20.62,3.8567,9.75,0.2433,0.705,0.0017
11,309,15.3758,57.35,27.49,19.82,5.1274,10.25,0.2681,0.9,0.0021
11,310,10.4353,51.19,24.82,17.8,3.4804,6.95,0.2039,0.695,0.0018
11,311,17.5186,63.5,28.27,20.35,4.0737,13.44,0.2759,0.61,0.0013
11,312,19.3934,61.24,29.73,23.76,4.6621,14.73,0.3167,0.675,0.0015
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
