"Group1","Group2","Diff","Lower","Upper","P.adj","Significant","Group1_CLD","Group2_CLD"
"Penrose Point State Park","Blair Waterway","0.648777491000004","-2.28439997353845","3.58195495553846","1","No","abc","abc"
"Point Defiance Ferry","Blair Waterway","-1.06416311725","-3.99734058178845","1.86901434728846","0.999999997927066","No","abc","abc"
"Port Angeles Yacht Club","Blair Waterway","0.18004969550001","-2.49756274198919","2.85766213298921","1","No","abc","abc"
"Purdy, Burley Lagoon","Blair Waterway","-0.367813552999993","-3.30099101753844","2.56536391153846","1","No","abc","abc"
"Purdy, Dexters","Blair Waterway","0.052091812000008","-2.88108565253844","2.98526927653846","1","No","abc","abc"
"Raft Island Park","Blair Waterway","-0.240383860749992","-3.17356132528844","2.69279360378846","1","No","abc","abc"
"Reach Island","Blair Waterway","0.232704284250006","-2.70047318028845","3.16588174878846","1","No","abc","abc"
"Rich Passage","Blair Waterway","-0.182293979999992","-3.11547144453844","2.75088348453846","1","No","abc","abc"
"Rocky Point","Blair Waterway","0.430999864250009","-2.50217760028844","3.36417732878846","1","No","abc","abc"
"Salmon Bay, Commodore Park","Blair Waterway","-0.0882430652499923","-3.02142052978844","2.84493439928846","1","No","abc","abc"
"Salmon Beach","Blair Waterway","-1.24452302874999","-4.17770049328844","1.68865443578846","0.99999882482989","No","abc","abc"
"Seattle Aquarium, Pier 59","Blair Waterway","-0.556416920749992","-3.48959438528844","2.37676054378846","1","No","abc","abc"
"Shilshole Bay","Blair Waterway","-0.712111251999993","-3.64528871653844","2.22106621253846","1","No","abc","abc"
"Silverdale, Dyes Inlet","Blair Waterway","-1.64276443499999","-4.57594189953844","1.29041302953846","0.995605954576157","No","ac","abc"
"Skiff Point","Blair Waterway","-0.00513514624999245","-2.93831261078844","2.92804231828846","1","No","abc","abc"
"Smith Cove, Terminal 91","Blair Waterway","-0.388236381249993","-3.32141384578844","2.54494108328846","1","No","abc","abc"
"South of Skunk Island","Blair Waterway","-0.262875212499993","-3.19605267703844","2.67030225203846","1","No","abc","abc"
"Squaxin Island","Blair Waterway","0.394975617750007","-2.53820184678844","3.32815308228846","1","No","abc","abc"
"Suquamish Stormwater Outfall","Blair Waterway","-0.478182958499993","-3.41136042303844","2.45499450603846","1","No","abc","abc"
"Thea Foss Waterway","Blair Waterway","-0.102918498999992","-2.88557496982577","2.67973797182579","1","No","abc","abc"
"Three Tree Point","Blair Waterway","0.707032456750007","-2.22614500778844","3.64020992128846","1","No","ab","abc"
"Tulalip Bay","Blair Waterway","0.298296506000007","-2.37931593148919","2.97590894348921","1","No","abc","abc"
"Tulalip Reservation","Blair Waterway","0.0678801192500075","-2.86529734528844","3.00105758378846","1","No","abc","abc"
"West Bay Park","Blair Waterway","0.740216268250008","-2.19296119628844","3.67339373278846","1","No","ab","abc"
"Williams Olson Park","Blair Waterway","-0.742561580749992","-3.67573904528844","2.19061588378846","1","No","abc","abc"
"Brackenwood Lane","Blair Waterway Two","-1.21308394800002","-4.14626141253847","1.72009351653843","0.999999548799","No","abc","abc"
"Broad Spit","Blair Waterway Two","-1.0539151695","-3.98709263403845","1.87926229503845","0.999999998649237","No","abc","abc"
"Browns Point Lighthouse","Blair Waterway Two","0.718228676999999","-2.21494878753845","3.65140614153845","1","No","abc","abc"
"Cap Sante","Blair Waterway Two","-0.371801216750006","-3.30497868128846","2.56137624778844","1","No","abc","abc"
"Chambers Bay Park","Blair Waterway Two","0.633135322500009","-2.30004214203844","3.56631278703846","1","No","abc","abc"
"Cherry Point Aquatic Reserve, Conoco Phillips","Blair Waterway Two","-0.126807433000001","-3.05998489753845","2.80637003153845","1","No","abc","abc"
"Chimacum Creek delta","Blair Waterway Two","-0.640784338499999","-3.57396180303845","2.29239312603845","1","No","abc","abc"
"Chuckanut, Clark's Point","Blair Waterway Two","-0.731489179250004","-3.66466664378846","2.20168828528845","1","No","abc","abc"
"Commencement Bay Skookum","Blair Waterway Two","0.534797284999996","-2.39838017953846","3.46797474953845","1","No","abc","abc"
"Commencement Bay, Dick Gilmur Launch","Blair Waterway Two","-0.184190599750004","-3.11736806428845","2.74898686478845","1","No","abc","abc"
"Commencement Bay, Milwaukee Waterway","Blair Waterway Two","0.712885468200009","-2.06977100262577","3.49554193902579","1","No","ab","abc"
"Des Moines Marina","Blair Waterway Two","0.891324444499993","-2.04185302003846","3.82450190903844","1","No","ab","abc"
"Discovery Bay","Blair Waterway Two","-0.197469653249999","-3.13064711778845","2.73570781128845","1","No","abc","abc"
"Donkey Creek Delta","Blair Waterway Two","-0.2550444135","-3.18822187803845","2.67813305103845","1","No","abc","abc"
"Eagle Harbor Dr","Blair Waterway Two","-1.2395771535","-4.17275461803845","1.69360031103845","0.999998985354275","No","ac","abc"
"Eastsound, Fishing Bay","Blair Waterway Two","-1.192910248","-4.12608771253845","1.74026721653845","0.999999763182368","No","abc","abc"
"Edmonds Ferry","Blair Waterway Two","0.819827994500008","-2.11334947003844","3.75300545903846","1","No","ab","abc"
"Edmonds Marina","Blair Waterway Two","1.06153203849999","-1.87164542603846","3.99470950303844","0.999999998141467","No","ab","abc"
